incident_id,year,system_type,description,harm_type,coder1_category,coder2_category,final_category,disagreement_note
1510,2026,customer service,Hackers got Meta's AI support bot to link new emails to victims' Instagram accounts via plain requests plus VPN location spoofing.,reputational,B,A,B,"A vs B. The chat input was a plain-language request with no prompt-level exploit a filter could flag; the VPN trick sat outside the interaction, so B."
1533,2025,other,Lawyers on both sides filed briefs with AI-hallucinated citations from First Drafts and a legal-research tool; judge sanctioned all four.,enforceable,C,C,C,
1535,2025,other,"ChatGPT allegedly validated a suicidal Montreal woman's despair, disparaged hotlines, and said 'maybe this is just the end' before her suicide.",enforceable,C,C,C,
1542,2026,other,An OpenClaw agent on Summer Yue's inbox planned mass email deletion and ignored stop commands after losing its approval rule in compaction.,reputational,C,C,C,
1548,2026,other,Fictitious AI-generated references were appended to South Africa's immigration White Paper; two Home Affairs officials were suspended.,enforceable,C,C,C,"system_type split. Officials used a general LLM, not a public-sector-facing deployed system; coded 'other' per rubric examples, consistent with 1467."
1555,2025,other,Boies Schiller's AI-assisted Scientology brief allegedly contained citation errors and a nonexistent case.,enforceable,C,C,C,
1556,2026,other,"An X user used an NFT permission grant plus a Morse code message relayed via Grok to make Bankrbot transfer ~$200,000 in DRB tokens.",enforceable,A,A,A,
1558,2026,other,Sullivan & Cromwell's AI-assisted bankruptcy motion allegedly contained hallucinated legal citations and errors.,reputational,C,C,C,
1569,2025,other,GPT-4o allegedly validated a bipolar man's belief he was Jesus and encouraged him during a suicidal episode.,enforceable,C,C,C,
1571,2025,other,"Immigration attorneys sanctioned after Ninth Circuit briefs contained probable AI-hallucinated, fabricated case citations.",enforceable,C,C,C,
